,name_en,syllables,syllable_count
0,Bulbasaur,"['Bul', 'ba', 'saur']",3
1,Ivysaur,"['Ivy', 'saur']",2
2,Venusaur,"['Ve', 'nu', 'saur']",3
3,Charmander,"['Char', 'man', 'der']",3
4,Charmeleon,"['Char', 'me', 'leon']",3
5,Charizard,"['Cha', 'ri', 'zard']",3
6,Squirtle,"['Squir', 'tle']",2
7,Wartortle,"['War', 'tor', 'tle']",3
8,Blastoise,"['Blas', 'toi', 'se']",3
9,Caterpie,"['Ca', 'ter', 'pie']",3
10,Metapod,"['Me', 'ta', 'pod']",3
11,Butterfree,"['But', 'ter', 'free']",3
12,Weedle,"['Wee', 'dle']",2
13,Kakuna,"['Ka', 'ku', 'na']",3
14,Beedrill,"['Bee', 'drill']",2
15,Pidgey,"['Pid', 'gey']",2
16,Pidgeotto,"['Pid', 'geot', 'to']",3
17,Pidgeot,"['Pid', 'geot']",2
18,Rattata,"['Rat', 'ta', 'ta']",3
19,Raticate,"['Ra', 'ti', 'ca', 'te']",4
20,Spearow,"['Spea', 'row']",2
21,Fearow,"['Fea', 'row']",2
22,Ekans,['Ekans'],1
23,Arbok,['Arbok'],1
24,Pikachu,"['Pi', 'kac', 'hu']",3
25,Raichu,"['Raic', 'hu']",2
26,Sandshrew,"['Sands', 'hrew']",2
27,Sandslash,"['San', 'dslash']",2
28,Nidoran ?,"['Ni', 'do', 'ran', '?']",4
29,Nidorina,"['Ni', 'do', 'ri', 'na']",4
30,Nidoqueen,"['Ni', 'do', 'que', 'en']",4
31,Nidoran ?,"['Ni', 'do', 'ran', '?']",4
32,Nidorino,"['Ni', 'do', 'ri', 'no']",4
33,Nidoking,"['Ni', 'do', 'king']",3
34,Clefairy,"['Cle', 'fai', 'ry']",3
35,Clefable,"['Cle', 'fa', 'ble']",3
36,Vulpix,"['Vul', 'pix']",2
37,Ninetales,"['Ni', 'ne', 'ta', 'les']",4
38,Jigglypuff,"['Jig', 'gly', 'puff']",3
39,Wigglytuff,"['Wig', 'gly', 'tuff']",3
40,Zubat,"['Zu', 'bat']",2
41,Golbat,"['Gol', 'bat']",2
42,Oddish,['Oddish'],1
43,Gloom,['Gloom'],1
44,Vileplume,"['Vi', 'le', 'plu', 'me']",4
45,Paras,"['Pa', 'ras']",2
46,Parasect,"['Pa', 'ra', 'sect']",3
47,Venonat,"['Ve', 'no', 'nat']",3
48,Venomoth,"['Ve', 'no', 'moth']",3
49,Diglett,"['Di', 'glett']",2
50,Dugtrio,"['Dug', 'trio']",2
51,Meowth,['Meowth'],1
52,Persian,"['Per', 'sian']",2
53,Psyduck,"['Psy', 'duck']",2
54,Golduck,"['Gol', 'duck']",2
55,Mankey,"['Man', 'key']",2
56,Primeape,"['Pri', 'mea', 'pe']",3
57,Growlithe,"['Grow', 'lit', 'he']",3
58,Arcanine,"['Arca', 'ni', 'ne']",3
59,Poliwag,"['Po', 'li', 'wag']",3
60,Poliwhirl,"['Po', 'liw', 'hirl']",3
61,Poliwrath,"['Po', 'liw', 'rath']",3
62,Abra,['Abra'],1
63,Kadabra,"['Ka', 'da', 'bra']",3
64,Alakazam,"['Ala', 'ka', 'zam']",3
65,Machop,"['Mac', 'hop']",2
66,Machoke,"['Mac', 'ho', 'ke']",3
67,Machamp,"['Mac', 'hamp']",2
68,Bellsprout,"['Bells', 'prout']",2
69,Weepinbell,"['Wee', 'pin', 'bell']",3
70,Victreebel,"['Vic', 'tree', 'bel']",3
71,Tentacool,"['Ten', 'ta', 'cool']",3
72,Tentacruel,"['Ten', 'ta', 'cruel']",3
73,Geodude,"['Geo', 'du', 'de']",3
74,Graveler,"['Gra', 've', 'ler']",3
75,Golem,"['Go', 'lem']",2
76,Ponyta,"['Po', 'ny', 'ta']",3
77,Rapidash,"['Ra', 'pi', 'dash']",3
78,Slowpoke,"['Slow', 'po', 'ke']",3
79,Slowbro,"['Slow', 'bro']",2
80,Magnemite,"['Ma', 'gne', 'mi', 'te']",4
81,Magneton,"['Ma', 'gne', 'ton']",3
82,Farfetch 'd,"['Far', ""fetch'd""]",2
83,Doduo,"['Do', 'duo']",2
84,Dodrio,"['Do', 'drio']",2
85,Seel,['Seel'],1
86,Dewgong,"['Dew', 'gong']",2
87,Grimer,"['Gri', 'mer']",2
88,Muk,['Muk'],1
89,Shellder,"['Shell', 'der']",2
90,Cloyster,"['Cloys', 'ter']",2
91,Gastly,"['Gas', 'tly']",2
92,Haunter,"['Haun', 'ter']",2
93,Gengar,"['Gen', 'gar']",2
94,Onix,['Onix'],1
95,Drowzee,"['Drow', 'zee']",2
96,Hypno,"['Hy', 'pno']",2
97,Krabby,"['Krab', 'by']",2
98,Kingler,"['Kin', 'gler']",2
99,Voltorb,"['Vol', 'torb']",2
100,Electrode,"['Elec', 'tro', 'de']",3
101,Exeggcute,"['Exegg', 'cu', 'te']",3
102,Exeggutor,"['Exeg', 'gu', 'tor']",3
103,Cubone,"['Cu', 'bo', 'ne']",3
104,Marowak,"['Ma', 'ro', 'wak']",3
105,Hitmonlee,"['Hi', 'tmon', 'lee']",3
106,Hitmonchan,"['Hi', 'tmonc', 'han']",3
107,Lickitung,"['Lic', 'ki', 'tung']",3
108,Koffing,"['Kof', 'fing']",2
109,Weezing,"['Wee', 'zing']",2
110,Rhyhorn,"['Rhy', 'horn']",2
111,Rhydon,"['Rhy', 'don']",2
112,Chansey,"['Chan', 'sey']",2
113,Tangela,"['Tan', 'ge', 'la']",3
114,Kangaskhan,"['Kan', 'gask', 'han']",3
115,Horsea,"['Hor', 'sea']",2
116,Seadra,"['Sea', 'dra']",2
117,Goldeen,"['Gol', 'deen']",2
118,Seaking,"['Sea', 'king']",2
119,Staryu,"['Sta', 'ryu']",2
120,Starmie,"['Star', 'mie']",2
121,Mr . Mime,"['MrMi', 'me']",2
122,Scyther,"['Scyt', 'her']",2
123,Jynx,['Jynx'],1
124,Electabuzz,"['Elec', 'ta', 'buzz']",3
125,Magmar,"['Ma', 'gmar']",2
126,Pinsir,"['Pin', 'sir']",2
127,Tauros,"['Tau', 'ros']",2
128,Magikarp,"['Ma', 'gi', 'karp']",3
129,Gyarados,"['Gya', 'ra', 'dos']",3
130,Lapras,"['La', 'pras']",2
131,Ditto,"['Dit', 'to']",2
132,Eevee,"['Ee', 'vee']",2
133,Vaporeon,"['Va', 'po', 'reon']",3
134,Jolteon,"['Jol', 'teon']",2
135,Flareon,"['Fla', 'reon']",2
136,Porygon,"['Po', 'ry', 'gon']",3
