,name_en,syllables,syllable_count,forms,category,height_m,weight_kg,has_gender,female_percent,is_breedable,catch_rate,leveling_rate,base_hp,base_atk,base_def,base_spatk,base_spdef,base_speed,base_stat_total,egg_group_0,egg_group_1,type_0,type_1,ability_0,ability_1,hidden_ability,is_legendary,is_mythical,is_part_of_evolution,stage,evolution_level
0,Bulbasaur,"['Bul', 'ba', 'saur']",3,1,Seed Pokemon,0.7,6.9,True,12.5,True,45,Medium Slow,45,49,49,65,65,45,318,Monster,Grass,Grass,Poison,Overgrow,,Chlorophyll,False,False,True,1,16.0
1,Ivysaur,"['Ivy', 'saur']",2,1,Seed Pokemon,1.0,13.0,True,12.5,True,45,Medium Slow,60,62,63,80,80,60,405,Monster,Grass,Grass,Poison,Overgrow,,Chlorophyll,False,False,True,2,32.0
2,Venusaur,"['Ve', 'nu', 'saur']",3,1,Seed Pokemon,2.0,100.0,True,12.5,True,45,Medium Slow,80,82,83,100,100,80,525,Monster,Grass,Grass,Poison,Overgrow,,Chlorophyll,False,False,True,3,
3,Charmander,"['Char', 'man', 'der']",3,1,Lizard Pokemon,0.6,8.5,True,12.5,True,45,Medium Slow,39,52,43,60,50,65,309,Monster,Dragon,Fire,,Blaze,,Solar Power,False,False,True,1,16.0
4,Charmeleon,"['Char', 'me', 'leon']",3,1,Flame Pokemon,1.1,19.0,True,12.5,True,45,Medium Slow,58,64,58,80,65,80,405,Monster,Dragon,Fire,,Blaze,,Solar Power,False,False,True,2,36.0
5,Charizard,"['Cha', 'ri', 'zard']",3,1,Flame Pokemon,1.7,90.5,True,12.5,True,45,Medium Slow,78,84,78,109,85,100,534,Monster,Dragon,Fire,Flying,Blaze,,Solar Power,False,False,True,3,
6,Squirtle,"['Squir', 'tle']",2,1,Tiny Turtle Pokemon,0.5,9.0,True,12.5,True,45,Medium Slow,44,48,65,50,64,43,314,Monster,Water 1,Water,,Torrent,,Rain Dish,False,False,True,1,16.0
7,Wartortle,"['War', 'tor', 'tle']",3,1,Turtle Pokemon,1.0,22.5,True,12.5,True,45,Medium Slow,59,63,80,65,80,58,405,Monster,Water 1,Water,,Torrent,,Rain Dish,False,False,True,2,36.0
8,Blastoise,"['Blas', 'toi', 'se']",3,1,Shellfish Pokemon,1.6,85.5,True,12.5,True,45,Medium Slow,79,83,100,85,105,78,530,Monster,Water 1,Water,,Torrent,,Rain Dish,False,False,True,3,
9,Caterpie,"['Ca', 'ter', 'pie']",3,1,Worm Pokemon,0.3,2.9,True,50.0,True,255,Medium Fast,45,30,35,20,20,45,195,Bug,,Bug,,Shield Dust,,Run Away,False,False,True,1,7.0
10,Metapod,"['Me', 'ta', 'pod']",3,1,Cocoon Pokemon,0.7,9.9,True,50.0,True,120,Medium Fast,50,20,55,25,25,30,205,Bug,,Bug,,Shed Skin,,,False,False,True,2,10.0
11,Butterfree,"['But', 'ter', 'free']",3,1,Butterfly Pokemon,1.1,32.0,True,50.0,True,45,Medium Fast,60,45,50,80,80,70,385,Bug,,Bug,Flying,Compound Eyes,,Tinted Lens,False,False,True,3,
12,Weedle,"['Wee', 'dle']",2,1,Hairy Bug Pokemon,0.3,3.2,True,50.0,True,255,Medium Fast,40,35,30,20,20,50,195,Bug,,Bug,Poison,Shield Dust,,Run Away,False,False,True,1,7.0
13,Kakuna,"['Ka', 'ku', 'na']",3,1,Cocoon Pokemon,0.6,10.0,True,50.0,True,120,Medium Fast,45,25,50,25,25,35,205,Bug,,Bug,Poison,Shed Skin,,,False,False,True,2,10.0
14,Beedrill,"['Bee', 'drill']",2,1,Poison Bee Pokemon,1.0,29.5,True,50.0,True,45,Medium Fast,65,80,40,45,80,75,385,Bug,,Bug,Poison,Swarm,,Sniper,False,False,True,3,
15,Pidgey,"['Pid', 'gey']",2,1,Tiny Bird Pokemon,0.3,1.8,True,50.0,True,255,Medium Slow,40,45,40,35,35,56,251,Flying,,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,False,False,True,1,18.0
16,Pidgeotto,"['Pid', 'geot', 'to']",3,1,Bird Pokemon,1.1,30.0,True,50.0,True,120,Medium Slow,63,60,55,50,50,71,349,Flying,,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,False,False,True,2,36.0
17,Pidgeot,"['Pid', 'geot']",2,1,Bird Pokemon,1.5,39.5,True,50.0,True,45,Medium Slow,83,80,75,70,70,91,469,Flying,,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,False,False,True,3,
